fixture_id,home_team,away_team,market_id,snapshot_mins,outcome_a_id,outcome_b_id,best_price_a,best_price_b,book_side_a,book_side_b,over_round,arb_margin_%
id1000001761301107,Crystal Palace,Leeds United,1010,720,1010,1011,2.08,2.0408,prophetx,sx.bet,0.9708,2.922
id1000001761301131,Leeds United,Brentford FC,1010,1440,1010,1011,2.03,2.07,sx.bet,prophetx,0.9757,2.429
id1000001761301065,Burnley FC,Brentford FC,1010,1800,1010,1011,2.0241,2.07,sx.bet,prophetx,0.9771,2.286
id1000001761301125,Everton FC,Chelsea FC,1010,5,1010,1011,2.0153,2.07,sx.bet,prophetx,0.9793,2.07
id1000001761301125,Everton FC,Chelsea FC,1010,10,1010,1011,2.0153,2.06,sx.bet,prophetx,0.9816,1.835
id1000001761301061,Arsenal FC,Chelsea FC,1064,30,1064,1065,1.99,2.087,kaiyun,singbet,0.9817,1.833
id1000001761301125,Everton FC,Chelsea FC,1010,1,1010,1011,2.0202,2.05,sx.bet,prophetx,0.9828,1.719
id1000001761301077,Wolverhampton Wanderers,Aston Villa,1010,1800,1010,1011,2.05,2.0202,prophetx,sx.bet,0.9828,1.719
id1000001761301131,Leeds United,Brentford FC,1010,60,1010,1011,2.0084,2.06,sx.bet,kaiyun,0.9833,1.666
id1000001761301131,Leeds United,Brentford FC,1010,720,1010,1011,2.0153,2.05,sx.bet,prophetx,0.984,1.599
id1000001761301125,Everton FC,Chelsea FC,1010,30,1010,1011,2.0153,2.05,sx.bet,prophetx,0.984,1.599
id1000001761301125,Everton FC,Chelsea FC,1010,20,1010,1011,2.0153,2.05,sx.bet,prophetx,0.984,1.599
id1000001761301063,Brighton & Hove Albion,Nottingham Forest,1010,300,1010,1011,2.0241,2.04,sx.bet,prophetx,0.9842,1.576
id1000001761301155,Nottingham Forest,Aston Villa,1072,60,1072,1073,1.97,2.097,kaiyun,vertex,0.9845,1.551
id1000001761301061,Arsenal FC,Chelsea FC,1064,60,1064,1065,1.99,2.074,kaiyun,vertex,0.9847,1.533
id1000001761301061,Arsenal FC,Chelsea FC,1064,20,1064,1065,1.99,2.067,kaiyun,vertex,0.9863,1.369
id1000001761301099,Arsenal FC,Everton FC,1010,10,1010,1011,2.0045,2.05,sx.bet,prophetx,0.9867,1.332
id1000001761301155,Nottingham Forest,Aston Villa,1010,5,1010,1011,2.02,2.029,singbet,prophetx,0.9879,1.21
id1000001761301125,Everton FC,Chelsea FC,1010,60,1010,1011,2.0084,2.04,sx.bet,prophetx,0.9881,1.19
id1000001761301135,Newcastle United,Sunderland AFC,1010,720,1010,1011,2.0153,2.029,sx.bet,prophetx,0.9891,1.094
id1000001761301099,Arsenal FC,Everton FC,1010,30,1010,1011,2.0045,2.04,sx.bet,prophetx,0.9891,1.093
id1000001761301099,Arsenal FC,Everton FC,1010,20,1010,1011,2.0045,2.04,sx.bet,prophetx,0.9891,1.093
id1000001761301099,Arsenal FC,Everton FC,1010,5,1010,1011,2.0045,2.04,sx.bet,kaiyun,0.9891,1.093
id1000001761301131,Leeds United,Brentford FC,1010,1800,1010,1011,2.0153,2.02,sx.bet,prophetx,0.9913,0.874
id1000001761301077,Wolverhampton Wanderers,Aston Villa,1010,720,1010,1011,2.0045,2.029,sx.bet,kaiyun,0.9917,0.827
id1000001761301099,Arsenal FC,Everton FC,1010,1,1010,1011,2.0045,2.029,sx.bet,prophetx,0.9917,0.827
id1000001761301137,Tottenham Hotspur,Nottingham Forest,1010,720,1010,1011,2.029,2.0045,prophetx,sx.bet,0.9917,0.827
id1000001761301147,Chelsea FC,Manchester City,1076,60,1076,1077,2.009,2.024,kaiyun,vertex,0.9918,0.817
id1000001761301147,Chelsea FC,Manchester City,1076,30,1076,1077,2.009,2.024,kaiyun,vertex,0.9918,0.817
id1000001761301143,Brentford FC,Everton FC,1010,60,1010,1011,2.07,1.962,198bet,prophetx,0.9928,0.722
id1000001761301055,Tottenham Hotspur,Arsenal FC,1010,60,1010,1011,1.971,2.06,prophetx,kaiyun,0.9928,0.721
id1000001761301145,Burnley FC,Brighton & Hove Albion,1010,300,1010,1011,1.7664,2.34,sx.bet,prophetx,0.9935,0.651
id1000001761301099,Arsenal FC,Everton FC,1010,300,1010,1011,2.029,1.9947,prophetx,sx.bet,0.9942,0.582
id1000001761301063,Brighton & Hove Albion,Nottingham Forest,1010,30,1010,1011,1.9996,2.02,sx.bet,prophetx,0.9951,0.485
id1000001761301077,Wolverhampton Wanderers,Aston Villa,1078,30,1078,1079,1.95,2.073,kaiyun,vertex,0.9952,0.479
id1000001761301077,Wolverhampton Wanderers,Aston Villa,1078,20,1078,1079,1.95,2.073,kaiyun,vertex,0.9952,0.479
id1000001761301095,Aston Villa,Chelsea FC,10172,300,10172,10173,1.996,2.02,vertex,kaiyun,0.9961,0.395
id1000001761301045,Crystal Palace,Wolverhampton Wanderers,1010,20,1010,1011,1.99,2.02,prophetx,kaiyun,0.9976,0.244
id1000001761301051,Nottingham Forest,Liverpool FC,1076,60,1076,1077,2.04,1.97,kaiyun,198bet,0.9978,0.219
id1000001761301063,Brighton & Hove Albion,Nottingham Forest,1010,20,1010,1011,1.9996,2.009,sx.bet,prophetx,0.9979,0.214
id1000001761301077,Wolverhampton Wanderers,Aston Villa,1010,30,1010,1011,2.009,1.9996,prophetx,sx.bet,0.9979,0.214
id1000001761301131,Leeds United,Brentford FC,1010,20,1010,1011,1.98,2.029,sx.bet,prophetx,0.9979,0.21
id1000001761301045,Crystal Palace,Wolverhampton Wanderers,1010,60,1010,1011,1.98,2.029,prophetx,kaiyun,0.9979,0.21
id1000001761301145,Burnley FC,Brighton & Hove Albion,10172,5,10172,10173,1.97,2.037,198bet,vertex,0.9985,0.147
id1000001761301099,Arsenal FC,Everton FC,1010,60,1010,1011,1.952,2.053,prophetx,singbet,0.9994,0.061
